段階,段階見出し,異変ID,異変名,カテゴリ,重さ,異変の内容（本文に何が起きるか）,出るタイミング（直前の正常テキスト）,編集コメント
1,夕方の部屋,A1-1,変な比喩,text_intrusion,low,"「まるで麦茶が宿題の涙を吸い込んだかのような、哲学的な夏の断面図がそこにあった。季節とは何か。宿題とは何か。麦茶とは何か。」+ 作業メモ「ここもっといい比喩にする。麦茶は関係ない。」（グレー斜体）",けれど、頬杖をついていた手から力が抜ける。最後に時計を見ようとして、ミナトはそのまま眠ってしまった。,ここ、少し脱線しています。
1,夕方の部屋,A1-2,キャラ名が仮名のまま,text_intrusion,low,"本文が「その夜、【主人公】は母の帰りを待っていた。」になる（名前が仮名のまま）",同上,これは本文ではなさそうです。
1,夕方の部屋,A1-3,本文がチェックリストになる,layout_break,low,"「・麦茶（半分残り）\n・宿題（終わらない）\n・カレー（冷蔵庫）\n・父（いない）\n・母（まだ帰ってない）」",同上,書式が変わっています。
1,夕方の部屋,A1-4,作業メモが混入,text_intrusion,low,"「寝てはいけない。」の直後に青文字で「【ここで眠る描写。もっと眠たそうな感じにする】」が入る",同上,ここ、何を書こうとしました？
2,知らない駅,A2-1,本音の混入,text_intrusion,low,"「眠い。\nいや、眠いのは私だ。ミナトではなく。」（グレー斜体）が本文の間に入る",「この切符、使えますか？」,ここ、少し確認してください。
2,知らない駅,A2-2,コーヒーの染み画像,image_spam,low,"「窓の外には、夕方みたいな赤い空が広がっている。」の後にコーヒーカップの写真が本文に貼られる。キャプション「違います。これは資料ではないです。」",同上,画像が本文に入っています。
2,知らない駅,A2-3,家賃メモの混入,text_intrusion,low,"「ポケットの中で、硬い紙が指に触れた。」の後に赤い等幅フォントで「家賃　振込期限　今月15日」が入る",同上,いったん戻しましょう。
2,知らない駅,A2-4,タイトルが変わる,ui_interference,middle,"ヘッダーのタイトルが「新作小説_寝てない」に変わる（戻らない）",同上,ここ、少し確認してください。
3,切符と駅員,A3-1,見られている感覚,ui_interference,middle,"本文に「まだ誰か見ていますか。」が混入。同時にヘッダータイトルが「新作小説_見ないで」になり1秒後に戻る",いくらでもあるはずなのに、どれも違う気がする。,一度、直前の状態に戻してください。
3,切符と駅員,A3-2,プレイヤーへの話しかけ,text_intrusion,middle,"「読んでいる方、ここどう思いますか。\nいや、これは独り言です。続けます。」（グレー斜体）が混入",同上,この部分、前後と繋がっていません。
3,切符と駅員,A3-3,コメント欄だけ異常,comment_interference,middle,"本文は正常なまま。コメント欄だけに「まだいますか。」という作者の返信だけが突然出る（editorTextなし）",同上,（なし）→ 作者返信のみ表示
4,迷い,A4-1,中央揃えで詩のようになる,layout_break,middle,"「ミナトはこの町が嫌いだった」「山に囲まれていて」「電車は一時間に一本しか来ない」「同じ顔ぶればかりだ」が中央揃えで詩のように並ぶ。ツールバーの中央揃えアイコンがアクティブに見える",母は前より長く働くようになり、夕方の部屋に一人でいる時間が増えた。どこかへ行きたいと思うことはあった。けれど、本当に行きたい場所を考えると、いつも途中で分からなくなる。,書式が変わっています。
4,迷い,A4-2,白文字の隠し文,text_intrusion,middle,"「父がいなくなってから、家の中は少しだけ静かになった。」の直後に白文字（透明）で「静かなのは嘘だ」が入る。テキスト選択すると読める",同上,今の文章は削除してください。
4,迷い,A4-3,取り消し線が残る,format_change,middle,"「どこかへ行きたいと思うことはあった。」の後、グレーの取り消し線付きで「でも行けない。行ってはいけない。」が入る",同上,この部分、前後と繋がっていません。
5,今年の春,A5-1,夢文の混入,dream_logic,high,"「切符の空白を見ているうちに、今年の春のことを思い出した。」の後に意味崩壊文「やっぱり森の奥の隙間に見える山茶花が咲いた時に、黒い油を薬指につけて…橙色の煙が空に打ち上がっていくんだし。」が入る",その時、ミナトは父の顔を見ることができなかった。,一度、直前の状態に戻してください。
5,今年の春,A5-2,夢文の連続,dream_logic,high,"「鳥居の影が柔らかいうちに夜を畳む。\n電話が校庭に咲く。\n星の返却日が近づく。\n切符の裏側に春を貼る。\n透明な犬が月曜日を運ぶ。」が5行連続で出る。ツールバーのフォント名が空欄になる",同上,ここから先は書かないでください。
5,今年の春,A5-3,作者の本音と小説が混ざる,text_intrusion,high,"「言いたいことはあった。行かないで、とか。どうして、とか。」の後に空行を挟んで「言いたいことは、あります。\n今も。」が混入",同上,今の文章は削除してください。
6,電車・弁当屋,A6-1,反復呪詛,repetition,high,"「ゆるさないゆるなさいゆるさないゆるさないゆるさない…ゆるなさい」の連続が出る（正しい字と誤字が混在）",ガラス越しに、母がレジの横で頭を下げているのが見えた。客が出ていくと、少しだけ腰に手を当てる。それから、誰にも見られていないと思ったのか、深く息を吐いた。,一度、直前の状態に戻してください。
6,電車・弁当屋,A6-2,かえして／かえさないでが混ざる,repetition,high,"「かえしてかえさないでかえしてかえしてかえさないでかえしてかえさないでかえして」の連続が出る",同上,ここから先は書かないでください。
6,電車・弁当屋,A6-3,暗い廊下の画像,image_spam,high,"「気がつくと、目の前に母の働く弁当屋があった。」の後に暗い部屋の写真（キャプション「これは資料です」）が挿入される。コメント欄が赤く染まる",同上,今の文章は削除してください。
6,電車・弁当屋,A6-4,同じ画像が連投される,image_spam,high,"暗い部屋の写真が3枚連続で貼られる（3枚目は少し画角が変わる予定）",同上,ここから先は書かないでください。
7,母との会話,A7-1,作者の怒り,author_anger,high,"「迎えに来た」の後、空行を挟んで「あんたはいいよな、修正するだけで。\nこっちは何度も何度も何度も何度も、命を削って書いてるのに。」が出る",ミナトは店の隅の椅子に座った。母は黙って片付けを続けた。そのひとつひとつを、ミナトは見ていた。,一度、直前の状態に戻してください。（ホラー扱い：作者返信「正常って誰が決めたんですか。」表示）
7,母との会話,A7-2,押すだけの人への怒り,author_anger,high,"「ミナトは店の隅の椅子に座った。」の後に「押すだけで戻せる人には分からない。\n消された文章をもう一度書くのは私なんだよ。」が入る",同上,ここから先は書かないでください。（ホラー扱い：作者返信「ちゃんと書けって言うならあなたが書いてください。」表示）
7,母との会話,A7-3,作者がプレイヤーの正体を疑う,author_anger,high,"「まだ片付けがあるよ」の後に「あなたは、本当に担当編集者ですか。\n私を戻しているのは誰ですか。」が入る",同上,続ける前に確認してください。（ホラー扱い：作者返信「さっきのは異変ではありません。確認しただけです。」表示）
8,ミナトの顔,A8-1,助けてください（最終停止）,help_signal,final,"「切符はなかった。ただ、指先に紙の硬さだけが残っているような気がした。」の後に太字大きめで「助けてください。」が出てタイピング停止",けれど、その顔は少しだけ、行きたい場所を知っているように見えた。（段階8は段階冒頭に発生）,続ける前に確認してください。（ホラー扱い：作者返信「……今、何か書いていましたか。」表示）
8,ミナトの顔,A8-2,小説と作者の救難が重なる,help_signal,final,"「でも、どこか遠くへ行くのは、もう少しあとでもいいと思った。」の後に「完成させれば眠れます。\n止めないでください。\n完成させてください。」が入る",同上,ここから先は書かないでください。（ホラー扱い：作者返信「これは小説の文章です。」表示）
8,ミナトの顔,A8-3,押さないでください,help_signal,final,"「米を研ぐ。水の量は間違えない。たぶん。」の後に「押さないでください。\nもう少しで終わります。\n押さないでください。」が入る",同上,今の文章は削除してください。（ホラー扱い：作者返信「また戻るんですね。」表示）
